Class,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
lpv,0.027000000000000003,0.0,3,0.27,0.019,-7.000000000000001e-06,0.130305,14.270917,0.000995,0.009000000000000001,0.533333,0.004906000000000001,17.880565
lpv,0.214,0.0,18,0.346667,0.126,1e-06,0.01056,13.696013,0.00865,0.0975,0.24,0.026910000000000003,0.997859
ecl,0.2705,0.0,1,0.223333,0.23199999999999998,-1e-05,0.31959099999999996,19.36809,0.006736,0.071,0.53,0.027474000000000002,2.534404
lpv,0.3425,0.0,13,0.396667,-0.017,-9e-05,0.664452,14.216857000000001,0.013279,0.1515,0.25,0.029651999999999998,117.16171499999999
lpv,0.01075,0.09715499999999999,1,0.31383,-0.002,-2e-06,0.105675,13.609632999999999,0.00041,0.004,0.49468100000000004,0.00147,7.655264
ecl,0.0925,0.0,1,0.286667,0.0525,4e-06,20.114943,17.674943,0.002604,0.0285,0.423333,0.008461,3.101105
lpv,0.07325,3.5e-05,13,0.27026999999999995,0.053,-0.000171,0.9356200000000001,13.223068,0.002724,0.022000000000000002,0.405405,0.008623,147.996247
rrlyr,0.222,0.039383,1,0.29787199999999997,-0.0335,-6.1e-05,4.828199,15.904539000000002,0.007964,0.09,0.276596,0.016653,0.558561
lpv,0.063,0.052098,3,0.31068,0.0175,-5.4000000000000005e-05,0.088183,12.543311,0.002687,0.022000000000000002,0.281553,0.005982,47.769788
lpv,0.02,0.012595,4,0.283333,0.004,-1.4000000000000001e-05,0.409165,12.90414,0.000805,0.0065,0.503333,0.0032939999999999996,1394.0646199999999
rrlyr,0.184,0.000109,1,0.363333,-0.013999999999999999,-1.7e-05,35.9375,18.79394,0.005439,0.081,0.28,0.01636,0.346159
rrlyr,0.31,5.4000000000000005e-05,1,0.363333,-0.052000000000000005,-0.000144,11.440968,18.719170000000002,0.009509,0.1285,0.283333,0.020863,0.648233
cep,0.0715,0.356033,1,0.291667,0.021,0.00011599999999999999,0.5464479999999999,18.247347,0.0019649999999999997,0.021,0.402778,0.005509,0.285535
lpv,0.0155,0.05062,2,0.344828,-0.001,-2e-06,1.360544,13.417379,0.000641,0.006,0.314176,0.001565,16.524005
lpv,0.0115,0.07149900000000001,2,0.309278,-0.001,9e-06,0.08881,13.186268,0.000429,0.004,0.360825,0.0011380000000000001,0.107947
lpv,0.01275,0.231825,1,0.257143,0.0035,3e-06,0.456621,13.308257000000001,0.000496,0.005,0.428571,0.0016530000000000002,19.914445999999998
lpv,0.019,0.288544,3,0.346667,0.003,-7.000000000000001e-06,0.11061900000000001,13.507929999999998,0.00073,0.006999999999999999,0.48,0.002739,288.598728
lpv,0.1575,0.0072120000000000005,11,0.293333,-0.04,-1.9e-05,0.169972,13.405577,0.006159,0.0555,0.37333299999999997,0.017629,728.47257
lpv,0.1145,0.0,10,0.263333,0.10800000000000001,4e-06,0.011028,14.183979999999998,0.004121,0.0265,0.55,0.015068000000000002,725.9672099999999
lpv,0.10099999999999999,0.001395,7,0.372222,-0.005,-5.9999999999999995e-05,0.573682,13.700444000000001,0.003956,0.0415,0.333333,0.010336,41.718635
lpv,0.1305,0.125397,7,0.353333,-0.001,-2.8000000000000003e-05,0.630915,13.34915,0.005131,0.046,0.353333,0.012061,739.467625
lpv,0.092,0.0,6,0.356667,0.053,-7.000000000000001e-06,12.222222,13.138537,0.003817,0.0355,0.366667,0.010433,1.029353
lpv,0.027000000000000003,0.036893,2,0.313333,0.006999999999999999,-6e-06,0.645161,12.838989999999999,0.001104,0.011000000000000001,0.42,0.003739,1.026274
lpv,0.0175,0.040639,2,0.347826,-0.0025,-6e-06,0.038095,14.437591000000001,0.000646,0.006999999999999999,0.373913,0.001731,33.433188
rrlyr,0.433,0.0,1,0.423333,-0.336,1.6e-05,0.686462,19.022603,0.012689,0.161,0.323333,0.038524,0.470033
lpv,0.0205,0.552941,6,0.323333,-0.003,-1.2e-05,0.49833900000000003,14.423376999999999,0.000715,0.0065,0.5,0.002704,0.996662
ecl,0.42200000000000004,0.0,1,0.15,0.5329999999999999,1e-06,0.754977,19.116973,0.010423,0.0715,0.66,0.042746,0.677427
lpv,0.00975,0.18183,2,0.28037399999999996,-0.0015,1e-05,0.061397,12.953477000000001,0.00038199999999999996,0.003,0.42056099999999996,0.001312,0.124456
lpv,0.0125,0.0,14,0.306667,-0.01,0.001004,2.32288,13.159997,0.000522,0.004,0.583333,0.002127,12.29562
lpv,0.017,0.878266,2,0.28571399999999997,0.0,-1.9e-05,0.007701,12.758082,0.000705,0.006,0.408163,0.0018809999999999999,83.056578
lpv,0.0135,0.23861500000000002,5,0.324324,-0.001,-1.9e-05,0.115257,14.078141,0.000518,0.006,0.340541,0.001492,917.9101199999999
lpv,0.036000000000000004,0.015562999999999999,6,0.336667,-0.0135,1e-05,1.615074,13.300393,0.001392,0.013000000000000001,0.426667,0.004586,71.77319399999999
lpv,0.179,0.002106,8,0.303333,0.067,-9.7e-05,0.408426,14.56551,0.005965,0.055,0.446667,0.019302,1410.05227
lpv,0.337,0.002414,6,0.365854,-0.17600000000000002,-4.7e-05,0.041602999999999994,13.748707000000001,0.013590000000000001,0.1515,0.256098,0.033786000000000004,136.444857
lpv,0.0145,0.006811,2,0.323333,0.001,2e-06,0.60241,13.368343,0.000533,0.004,0.51,0.0015710000000000001,0.994936
lpv,0.02975,0.14494200000000002,3,0.29090900000000003,0.0005,-2e-06,0.011165000000000001,14.474791,0.000965,0.0075,0.44545500000000005,0.002349,354.812633
lpv,0.03075,0.003856,3,0.30687800000000004,-0.012,2e-06,0.094162,13.164333,0.0012460000000000001,0.012,0.37037,0.0038740000000000003,18.19368
lpv,0.0275,0.048957,2,0.275229,-0.017,-3e-06,0.011918999999999999,14.059614999999999,0.001093,0.01,0.440367,0.0038399999999999997,29.977341999999997
lpv,0.0535,0.129428,4,0.333333,0.0325,4e-05,0.013045,13.617476000000002,0.0019579999999999997,0.017,0.371429,0.00617,36.538994
lpv,0.0195,0.432007,4,0.34,0.0,-1e-05,0.144875,13.778332999999998,0.000766,0.008,0.44,0.00225,0.999442
lpv,0.0215,0.001111,18,0.408163,0.0005,-1.7e-05,1.644737,13.856788,0.000917,0.01,0.326531,0.002742,11.557655
lpv,0.0205,0.055723,2,0.346667,-0.006,9e-06,0.058507,13.85636,0.000752,0.006999999999999999,0.49,0.002814,13.228284
lpv,0.02775,0.778636,3,0.349057,0.002,-2.2e-05,0.10744400000000001,12.30583,0.001194,0.01,0.41509399999999996,0.004023,1.004529
rrlyr,0.3175,0.057492999999999995,1,0.35,-0.0355,-2.3e-05,7.460253,19.060847,0.008759000000000001,0.1275,0.366667,0.023913,0.600698
lpv,0.1385,2e-06,5,0.32,-0.061,2.2e-05,1.6366610000000001,14.225029999999999,0.005136,0.053,0.313333,0.012891999999999999,50.387878
lpv,0.025,0.811972,2,0.31068,-0.0025,-2e-06,0.125773,12.207398,0.001113,0.009000000000000001,0.39805799999999997,0.00344,25.987606
lpv,0.0205,0.0008880000000000001,1,0.29,0.0075,-8e-06,0.5728310000000001,13.76402,0.000727,0.006,0.543333,0.002834,0.9969549999999999
lpv,0.0185,0.143463,2,0.266667,-0.001,1e-06,0.060661,13.472582999999998,0.000675,0.006,0.533333,0.0025239999999999998,456.947924
rrlyr,0.133,0.0,1,0.47,0.024,2.7000000000000002e-05,2.85638,16.488326999999998,0.005417,0.085,0.153333,0.010981999999999999,0.32729
NonVar,0.0185,0.05464,1,0.33,0.006999999999999999,2e-06,1.328192,16.073683,0.0005549999999999999,0.005,0.506667,0.0018039999999999998,0.369126
ecl,0.2125,0.0,1,0.195946,0.205,3e-06,18.206522,19.364088,0.005311,0.0545,0.77027,0.027152999999999997,0.07258200000000001
lpv,0.04575,0.023379,5,0.39215700000000003,0.018000000000000002,-8.6e-05,0.025666,12.184775,0.002144,0.022000000000000002,0.362745,0.005089,272.86986
cep,0.26899999999999996,0.345532,1,0.25,-0.034,-0.00095,1.580951,18.133792,0.0075049999999999995,0.0875,0.458333,0.024681,0.064184
lpv,0.20600000000000002,0.004804,15,0.337079,0.012,-0.000479,0.121749,13.905118,0.007913,0.0715,0.303371,0.016413999999999998,1400.91336
lpv,0.0595,0.073216,4,0.377551,0.0,-0.00011100000000000001,0.024507,13.683684,0.002356,0.024,0.265306,0.00464,0.335721
lpv,0.02075,0.013384,2,0.355769,0.013000000000000001,1.6e-05,0.017304,13.293481,0.0008550000000000001,0.0075,0.375,0.003085,0.233316
lpv,0.0185,0.5197039999999999,1,0.32,-0.0035,-4e-06,8.069164,14.955832999999998,0.0006219999999999999,0.006,0.44,0.001939,1.001383
lpv,0.0375,0.017746,4,0.313333,0.0035,-1.6e-05,0.141777,13.626439999999999,0.001498,0.013999999999999999,0.49,0.006751999999999999,36.754436
lpv,0.015,0.092226,2,0.26,0.001,-4e-06,0.9036139999999999,14.381576999999998,0.000534,0.005,0.563333,0.001877,1.001566
lpv,0.017,0.018234,2,0.3,0.002,-9e-06,0.159532,13.650363,0.000665,0.006,0.466667,0.0020510000000000003,1748.3694
lpv,0.0195,0.271719,1,0.326667,-0.001,3e-06,0.018738,15.437013,0.0006450000000000001,0.006999999999999999,0.476667,0.002073,0.994659
lpv,0.121,0.617818,9,0.303333,0.011000000000000001,1.9e-05,0.024908,14.669979999999999,0.004185,0.043,0.39,0.010907,174.241347
lpv,0.1775,0.0,11,0.343333,0.174,1.7e-05,0.021442,14.637103,0.0072109999999999995,0.0665,0.28,0.02146,526.2918030000001
lpv,0.031,0.29108,3,0.29,-0.004,-1.4000000000000001e-05,0.22107600000000002,13.329063,0.001102,0.01,0.416667,0.003001,19.382862
lpv,0.0465,0.5616720000000001,4,0.323333,0.0075,-2e-06,0.05611699999999999,14.71933,0.0016309999999999999,0.016,0.43,0.005231,0.997757
lpv,0.0665,0.006236,8,0.273333,0.02,2e-06,0.234028,13.693307,0.002196,0.02,0.49333299999999997,0.008398000000000001,194.52223700000002
lpv,0.0225,0.334504,3,0.323353,0.0075,1.8e-05,1.285521,15.107335,0.000739,0.008,0.38922199999999996,0.002251,21.436216
lpv,0.07025,0.00322,5,0.26455,0.0115,-4.4e-05,0.501972,14.123676999999999,0.002338,0.021,0.46560799999999997,0.006371,23.695443
lpv,0.142,0.185367,6,0.37333299999999997,0.018000000000000002,-5.2000000000000004e-05,0.487126,13.219937,0.005788000000000001,0.0555,0.37666700000000003,0.013655,730.9424349999999
rrlyr,0.1935,0.024146,1,0.29431399999999996,0.069,-2.7000000000000002e-05,15.283203,19.256829,0.005325,0.067,0.46822700000000006,0.017509,0.268853
ecl,0.011000000000000001,0.017807,3,0.351171,0.002,-0.000195,1.9626169999999998,14.668498000000001,0.000429,0.004,0.505017,0.001773,0.184886
lpv,0.07,0.000341,5,0.353333,0.013999999999999999,-1.3000000000000001e-05,0.268097,13.659120000000001,0.002844,0.0265,0.41,0.00875,424.396781
lpv,0.047,0.102234,3,0.366071,-0.018000000000000002,-3.8e-05,0.013534000000000001,13.651893,0.001697,0.0175,0.383929,0.004943,861.6878230000001
lpv,0.115,0.050331,5,0.36,0.015,-6e-06,0.592105,14.044726999999998,0.0043479999999999994,0.043,0.396667,0.011675,50.693259000000005
ecl,0.1695,0.0,6,0.13333299999999998,0.299,0.002643,6.324473,17.014097,0.005391,0.012,0.81,0.021497,0.740735
lpv,0.087,0.044993,3,0.3,0.019,-3.1e-05,4.272151999999999,13.596653,0.002849,0.024,0.45,0.009672,25.972076
lpv,0.064,0.004802000000000001,3,0.343333,-0.008,3e-06,0.217313,13.053113,0.00267,0.0235,0.36,0.006474,22.448362
lpv,0.14800000000000002,0.11473699999999999,5,0.313333,-0.017,-4.2e-05,0.07698200000000001,15.479323,0.0048590000000000005,0.048,0.43,0.014894,629.601943
lpv,0.0165,0.25306300000000004,3,0.296296,-0.0025,2.8999999999999997e-05,0.178549,15.395926000000001,0.000537,0.005,0.303704,0.001429,278.964338
lpv,0.0285,0.002686,4,0.42028999999999994,0.003,7.000000000000001e-06,0.17746199999999998,13.378645,0.0012460000000000001,0.013000000000000001,0.275362,0.002616,30.068608
lpv,0.0525,0.004584,4,0.269231,0.046,5.9999999999999995e-05,0.057039,11.899519,0.0026,0.021,0.403846,0.00971,400.154631
lpv,0.12,0.002439,8,0.432692,0.013999999999999999,-1.2e-05,0.015189,13.654019,0.005365999999999999,0.064,0.278846,0.011026000000000001,213.053827
