Pais,2013,2014,2015,2016,2017
Estados Unidos,6306611,12034284,21975254,30424000,60688631
España,569457,956750,1782312,2593025,3446904
Italia,5561888,8845776,16387430,16965989,18440429
Francia,9776457,13885349,16601864,25421972,46797459
Alemania,2692145,2600368,2507329,2417294,2326443
Reino Unido,4283585,5805363,8715813,14170427,17933961
Rusia,2000091,3523574,4245648,8204455,13239892
China,3083501,6169002,8318864,11207976,17267324
México,10327423,17759115,34382104,67172094,103828025
Japón,10248705,20438398,23111872,43476545,60728084
Chile,1088398,997370,897734,798576,708325
Argentina,6227225,12222367,22328738,33873404,34787538
Corea,4738147,7797669,11296397,12874680,24882802
Portugal,6004301,9984034,14038826,22662322,28719903
India,7498847,9458783,18249388,26661395,28561980
Madagascar,7433317,12701919,16550734,23587029,43790130
Canadá,7506864,9298814,11286926,11620020,22408837
Ecuador,1930001,1835234,1736944,1639807,1540368
Camerún,6199665,9437070,10742844,11400815,13245030
Guinea,1302202,2280005,2979096,5493045,7029534
