Año,Mes,Fallecidos
2013,01-Enero,243560
2013,02-Febrero,270623
2013,03-Marzo,284154
2013,04-Abril,213115
2013,05-Mayo,260474
2013,06-Junio,260474
2013,07-Julio,177596
2013,08-Agosto,186053
2013,09-Septiembre,152225
2013,10-Octubre,169139
2013,11-Noviembre,260474
2013,12-Diciembre,248634
2014,01-Enero,334219
2014,02-Febrero,316628
2014,03-Marzo,369400
2014,04-Abril,307833
2014,05-Mayo,277050
2014,06-Junio,323225
2014,07-Julio,197893
2014,08-Agosto,230875
2014,09-Septiembre,241869
2014,10-Octubre,230875
2014,11-Noviembre,292441
2014,12-Diciembre,323225
2015,01-Enero,432996
2015,02-Febrero,476296
2015,03-Marzo,389697
2015,04-Abril,397815
2015,05-Mayo,340984
2015,06-Junio,359928
2015,07-Julio,284154
2015,08-Agosto,257091
2015,09-Septiembre,297685
2015,10-Octubre,257091
2015,11-Noviembre,378872
2015,12-Diciembre,397815
2016,01-Enero,565602
2016,02-Febrero,539892
2016,03-Marzo,565602
2016,04-Abril,449910
2016,05-Mayo,449910
2016,06-Junio,472406
2016,07-Julio,305296
2016,08-Agosto,337433
2016,09-Septiembre,337433
2016,10-Octubre,337433
2016,11-Noviembre,494901
2016,12-Diciembre,449910
2017,01-Enero,654907
2017,02-Febrero,595370
2017,03-Marzo,654907
2017,04-Abril,468854
2017,05-Mayo,520949
2017,06-Junio,573044
2017,07-Julio,409317
2017,08-Agosto,334895
2017,09-Septiembre,390711
2017,10-Octubre,409317
2017,11-Noviembre,494901
2017,12-Diciembre,573044
